Cell Code,T_C,T_K,Conductivity,Filename,1000/T
GG02,-20,253.14999999999998,5.619180455724369e-09,BL-LL-GG02_-20C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.950227138060439
GG02,-40,233.14999999999998,9.718173228980811e-05,BL-LL-GG02_-40C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,4.2890842805061125
GG02,-40,233.14999999999998,3.5586212359452545e-09,BL-LL-GG02_-40C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,4.2890842805061125
GG02,-60,213.14999999999998,9.718173228980811e-05,BL-LL-GG02_-60C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,4.691531785127845
GG02,-60,213.14999999999998,2.441752005899273e-09,BL-LL-GG02_-60C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,4.691531785127845
GG03,60,333.15,9.718173228980811e-05,BL-LL-GG03_60C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.0016509079994
GG03,60,333.15,2.5791446914511952e-08,BL-LL-GG03_60C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.0016509079994
GG03,40,313.15,9.718173228980811e-05,BL-LL-GG03_40C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.193357815743254
GG03,40,313.15,1.8977068380043927e-08,BL-LL-GG03_40C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.193357815743254
GG03,20,293.15,9.276438082208953e-05,BL-LL-GG03_20C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,3.4112229234180456
GG03,20,293.15,1.4699038277526574e-08,BL-LL-GG03_20C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,3.4112229234180456
GG03,10,283.15,9.718173228980811e-05,BL-LL-GG03_10C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.531696980399082
GG03,10,283.15,1.3176919104517822e-08,BL-LL-GG03_10C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,3.531696980399082
GG03,0,273.15,9.718173228980811e-05,BL-LL-GG03_0C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.660992128866923
GG03,0,273.15,1.1608529603382881e-08,BL-LL-GG03_0C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,3.660992128866923
GG03,-10,263.15,9.718173228980811e-05,BL-LL-GG03_-10C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.800114003420103
GG03,-10,263.15,9.88461962260803e-09,BL-LL-GG03_-10C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.800114003420103
GG03,-20,253.14999999999998,9.718173228980811e-05,BL-LL-GG03_-20C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.950227138060439
GG03,-20,253.14999999999998,8.306014464146746e-09,BL-LL-GG03_-20C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.950227138060439
GG03,-40,233.14999999999998,9.718173228980811e-05,BL-LL-GG03_-40C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,4.2890842805061125
GG03,-40,233.14999999999998,5.0729277910266085e-09,BL-LL-GG03_-40C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,4.2890842805061125
GG03,-60,213.14999999999998,9.718173228980811e-05,BL-LL-GG03_-60C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,4.691531785127845
GG03,-60,213.14999999999998,1.7748079047845545e-09,BL-LL-GG03_-60C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,4.691531785127845
GH01,60,333.15,9.718173228980811e-05,BL-LL-GH01_60C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.0016509079994
GH01,60,333.15,2.1609681891578887e-08,BL-LL-GH01_60C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,3.0016509079994
GH01,40,313.15,9.718173228980811e-05,BL-LL-GH01_40C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.193357815743254
GH01,40,313.15,1.7409457652563375e-08,BL-LL-GH01_40C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,3.193357815743254
GH01,20,293.15,9.276438082208953e-05,BL-LL-GH01_20C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.4112229234180456
GH01,20,293.15,1.3807115160125075e-08,BL-LL-GH01_20C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.4112229234180456
GH01,10,283.15,9.718173228980811e-05,BL-LL-GH01_10C_Blocking_Ionic_Conductivity_01_OCV_C05.mpt,3.531696980399082
GH01,10,283.15,1.1887804249195535e-08,BL-LL-GH01_10C_Blocking_Ionic_Conductivity_02_PEIS_C05.mpt,3.531696980399082
GH01,0,273.15,9.718173228980811e-05,BL-LL-GH01_0C_Blocking_Ionic_Conductivity_01_OCV_C05.mpt,3.660992128866923
GH01,0,273.15,1.0522268400041218e-08,BL-LL-GH01_0C_Blocking_Ionic_Conductivity_02_PEIS_C05.mpt,3.660992128866923
GH01,-10,263.15,9.276438082208953e-05,BL-LL-GH01_-10C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.800114003420103
GH01,-10,263.15,8.842793677065788e-09,BL-LL-GH01_-10C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,3.800114003420103
GH01,-20,253.14999999999998,9.718173228980811e-05,BL-LL-GH01_-20C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.950227138060439
GH01,-20,253.14999999999998,7.836482722746678e-09,BL-LL-GH01_-20C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,3.950227138060439
GH01,-40,233.14999999999998,9.718173228980811e-05,BL-LL-GH01_-40C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,4.2890842805061125
GH01,-40,233.14999999999998,5.383735630860748e-09,BL-LL-GH01_-40C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,4.2890842805061125
GH01,-60,213.14999999999998,9.718173228980811e-05,BL-LL-GH01_-60C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,4.691531785127845
GH01,-60,213.14999999999998,3.2264522041649553e-09,BL-LL-GH01_-60C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,4.691531785127845
GH02,60,333.15,9.718173228980811e-05,BL-LL-GH02_60C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.0016509079994
GH02,60,333.15,2.347795953465018e-08,BL-LL-GH02_60C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,3.0016509079994
GH02,40,313.15,9.718173228980811e-05,BL-LL-GH02_40C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.193357815743254
GH02,40,313.15,1.6387723420310638e-08,BL-LL-GH02_40C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,3.193357815743254
GH02,20,293.15,9.276438082208953e-05,BL-LL-GH02_20C_Blocking_Ionic_Conductivity_01_OCV_C05.mpt,3.4112229234180456
GH02,20,293.15,1.644148738754825e-08,BL-LL-GH02_20C_Blocking_Ionic_Conductivity_02_PEIS_C05.mpt,3.4112229234180456
GH02,10,283.15,9.718173228980811e-05,BL-LL-GH02_10C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,3.531696980399082
